ticket_type,priority,urgency,category_level_1,category_level_2,category_level_3,location,entity,service_label,origin,created_hour,created_day_of_week,is_weekend,description_length,is_long_resolution
Incident,5,3 - Faible,Incidents,Matériel,Informatiques,AVIGNON,TEXA,,Téléphone,10,2,False,522,True
Incident,5,3 - Faible,Incidents,Systéme,Windows,NANTES,CELLINKS,,Téléphone,10,2,False,16,False
Incident,4,2 - Moyenne,Incidents,Application métier,ESKER,NANCY,TEXA SERVICES,,Self Service,10,2,False,88,False
Incident,4,2 - Moyenne,Incidents,Portail,,AVIGNON,TEXA,,Self Service,9,2,False,466,False
Incident,4,2 - Moyenne,Incidents,Application métier,Avensys,RENNES,CLE,,Self Service,9,2,False,89,False
Incident,4,2 - Moyenne,Incidents,Systéme,Windows,-,QANTEX,,Self Service,9,2,False,604,False
Incident,4,2 - Moyenne,Incidents,Matériel,Informatiques,NANTES,CLE,,Self Service,9,2,False,377,False
Incident,5,3 - Faible,Incidents,Systéme,Windows,-,TEXA,,Kiosque IT,9,2,False,63,False
Incident,4,3 - Faible,Incidents,Logiciel Bureautique,Office365,-,STELLIANT,,Kiosque IT,9,2,False,76,False
Incident,5,3 - Faible,Incidents,Systéme,Windows,-,INQUEST,,Téléphone,9,2,False,171,False
Incident,5,3 - Faible,Incidents,Application métier,SINERGIE,NANTES,TEXA,,Téléphone,8,2,False,186,False
Incident,4,2 - Moyenne,Incidents,Matériel,Informatiques,LYON,TEXA SERVICES,,Self Service,8,2,False,84,False
Incident,5,3 - Faible,Incidents,Systéme,Windows,VALENCE,CLE EXPERTISES,,Téléphone,8,2,False,302,False
Incident,4,2 - Moyenne,Incidents,Application métier,ITEX MOBILE,NICE,TEXA,,Self Service,18,1,False,365,False
Incident,5,3 - Faible,Incidents,Systéme,Windows,-,GMC,,Téléphone,17,1,False,131,False
Incident,4,2 - Moyenne,Incidents,Systéme,Windows,NANTES,TEXA,,Self Service,16,1,False,74,False
Incident,4,2 - Moyenne,Incidents,Systéme,Windows,PAU,PHENIX,,Self Service,16,1,False,61,False
Incident,4,2 - Moyenne,Incidents,Portail,,LILLE,TEXA SERVICES,,Self Service,15,1,False,98,False
Incident,3,2 - Moyenne,Incidents,Logiciel Bureautique,Office365,NANTES,GMC,,Self Service,14,1,False,84,False
Incident,3,2 - Moyenne,Incidents,Logiciel Bureautique,Office365,-,GMC,,Self Service,12,1,False,309,False
Incident,4,3 - Faible,Incidents,Logiciel Bureautique,Office365,-,QANTEX,,Téléphone,12,1,False,685,False
Incident,5,3 - Faible,Incidents,Systéme,Windows,Vitrolles,GMC,,Téléphone,12,1,False,101,False
Incident,4,2 - Moyenne,Incidents,Matériel,Informatiques,-,TEXA,,Self Service,11,1,False,877,False
Incident,5,3 - Faible,Incidents,Systéme,Windows,NANTES,INQUEST,,Téléphone,11,1,False,220,False
Incident,5,3 - Faible,Incidents,Application métier,ITEX,-,VOXENS,,Téléphone,11,1,False,275,False
Incident,5,3 - Faible,Incidents,Systéme,Windows,PLATEFORME PCN,TEXA,,Téléphone,11,1,False,71,False
Incident,1,1 - Haute,Incidents,Application métier,ITEX MOBILE,NIORT,TEXA SERVICES,,Téléphone,11,1,False,327,False
Incident,5,3 - Faible,Incidents,Application métier,Ringover,RENNES,GEOP,,Téléphone,10,1,False,79,False
Incident,4,2 - Moyenne,Incidents,Systéme,Windows,-,VOXENS,,Self Service,10,1,False,865,False
Incident,3,2 - Moyenne,Incidents,Systéme,Windows Serveur,-,VOXENS,,Self Service,10,1,False,117,False
Incident,5,3 - Faible,Incidents,Systéme,Windows,CREIL,TEXA,,Téléphone,10,1,False,206,False
Incident,4,2 - Moyenne,Incidents,Portail,,ORLEANS,VOXENS,,Self Service,10,1,False,544,False
Incident,5,3 - Faible,Incidents,Systéme,Windows,-,PHENIX,,Téléphone,10,1,False,81,False
Incident,5,3 - Faible,Incidents,Application métier,Avensys,-,CLE,,Téléphone,10,1,False,100,False
Incident,5,3 - Faible,Incidents,Systéme,Windows,-,TEXA,,Kiosque IT,10,1,False,105,False
Incident,5,3 - Faible,Incidents,Logiciel Bureautique,PDF-Exchange,-,EURISK,,Téléphone,9,1,False,493,True
Incident,5,3 - Faible,Incidents,Application métier,Ringover,ROUEN,TEXA SERVICES,,Téléphone,9,1,False,301,False
Incident,5,3 - Faible,Incidents,Application métier,Avensys,-,CLE,,Téléphone,9,1,False,110,False
Incident,4,2 - Moyenne,Incidents,Matériel,Informatiques,CAEN,TEXA,,Self Service,8,1,False,284,False
Incident,4,2 - Moyenne,Incidents,Application métier,MICROSOFT DYNAMICS AX,LILLE,TEXA,,Self Service,8,1,False,417,False
Incident,5,3 - Faible,Incidents,Sécurité,MFA,BOURGES CNG,TEXA SERVICES,,Téléphone,8,1,False,344,False
Incident,5,3 - Faible,Incidents,Systéme,Windows,AVIGNON,TEXA SERVICES,,Téléphone,8,1,False,230,False
Incident,4,2 - Moyenne,Incidents,Sécurité,Alerte Sentinel,ANNECY,TEXA,,Self Service,7,1,False,370,False
Incident,3,2 - Moyenne,Incidents,Logiciel Bureautique,Office365,-,FPS,,Self Service,7,1,False,91,False
Incident,4,2 - Moyenne,Incidents,Application métier,MICROSOFT DYNAMICS AX,ORLEANS,VOXENS,,Self Service,7,1,False,136,False
Incident,4,2 - Moyenne,Incidents,Application métier,Sinapps,-,VOXENS,,Self Service,19,0,False,85,False
Incident,4,2 - Moyenne,Incidents,Application métier,CASSIOPEE,LILLE,CLE,,Self Service,18,0,False,199,False
Incident,5,3 - Faible,Incidents,Application métier,ITEX MOBILE,-,TEXA,,Téléphone,17,0,False,262,True
Incident,5,3 - Faible,Incidents,Application métier,ITEX,-,TEXA,,Téléphone,17,0,False,4,False
Incident,3,2 - Moyenne,Incidents,Logiciel Bureautique,Office365,ORLEANS,TEXA SERVICES,,Self Service,17,0,False,173,False
Incident,5,3 - Faible,Incidents,Sécurité,MFA,ORLEANS,TEXA SERVICES,,Téléphone,15,0,False,372,False
Incident,4,3 - Faible,Incidents,Logiciel Bureautique,Office365,RENNES,GEOP,,Téléphone,15,0,False,327,False
Incident,5,3 - Faible,Incidents,Application métier,Ringover,GUADELOUPE,TEXA,,Téléphone,15,0,False,356,False
Incident,4,2 - Moyenne,Incidents,Application métier,ITEX,AVIGNON,TEXA SERVICES,,Self Service,15,0,False,574,False
Incident,5,3 - Faible,Incidents,Application métier,ITEX,-,TEXA SERVICES,,Téléphone,14,0,False,74,False
Incident,5,3 - Faible,Incidents,Systéme,Windows,-,TEXA,,Téléphone,14,0,False,261,False
Incident,4,2 - Moyenne,Incidents,Réseau,Mobile,AVIGNON,TEXA SERVICES,,Self Service,13,0,False,968,False
Incident,5,3 - Faible,Incidents,Application métier,ITEX,-,STELLIANT,,Téléphone,12,0,False,367,False
Incident,5,3 - Faible,Incidents,Systéme,Windows,ORLEANS CNG,TEXA,,Téléphone,12,0,False,316,False
Incident,4,2 - Moyenne,Incidents,Application métier,Ringover,ROUEN,TEXA,,Self Service,12,0,False,36,False
Incident,4,3 - Faible,Incidents,Logiciel Bureautique,Office365,-,EURISK,,Téléphone,11,0,False,765,True
Incident,4,2 - Moyenne,Incidents,Application métier,OPTIM,TOULON,TEXA,,Self Service,11,0,False,188,False
Incident,4,3 - Faible,Incidents,Systéme,Windows Serveur,NANTES,PHENIX,,Téléphone,11,0,False,239,False
Incident,3,1 - Haute,Incidents,Application métier,Avensys,NANTES,CLE,,Téléphone,10,0,False,870,False
Incident,5,3 - Faible,Incidents,Systéme,Windows,-,TEXA,,Téléphone,10,0,False,254,False
Incident,5,3 - Faible,Incidents,Systéme,Windows,NICE,GEOP,,Téléphone,10,0,False,211,False
Incident,5,3 - Faible,Incidents,Sécurité,MFA,TOULON,TEXA,,Téléphone,10,0,False,333,False
Incident,4,2 - Moyenne,Incidents,Application métier,ITEX,-,GMC,,Self Service,10,0,False,229,False
Incident,5,3 - Faible,Incidents,Systéme,Windows,-,PHENIX,,Téléphone,10,0,False,499,False
Incident,4,2 - Moyenne,Incidents,Application métier,MICROSOFT DYNAMICS AX,-,TEXA,,Self Service,9,0,False,194,False
Incident,4,2 - Moyenne,Incidents,Portail,,Vitrolles,GMC,,Self Service,9,0,False,227,False
Incident,5,3 - Faible,Incidents,Systéme,Windows,-,TEXA SERVICES,,Téléphone,9,0,False,132,False
Incident,5,3 - Faible,Incidents,Sécurité,Filtrage URL,MELUN,TEXA,,Téléphone,9,0,False,436,False
Incident,5,3 - Faible,Incidents,Logiciel Bureautique,PDF-Exchange,-,TEXA SERVICES,,Kiosque IT,9,0,False,80,False
Incident,5,3 - Faible,Incidents,Application métier,Ringover,BAYONNE,EURISK,,Téléphone,9,0,False,39,False
Incident,5,3 - Faible,Incidents,Systéme,Windows,-,TEXA SERVICES,,Téléphone,9,0,False,231,False
Incident,5,3 - Faible,Incidents,Systéme,Windows,-,INQUEST,,Téléphone,9,0,False,108,False
Incident,4,3 - Faible,Incidents,Logiciel Bureautique,Office365,LILLE,TEXA,,Téléphone,9,0,False,304,False
Incident,4,2 - Moyenne,Incidents,Systéme,Windows,ORLEANS,VOXENS,,Self Service,9,0,False,94,False
Incident,5,3 - Faible,Incidents,Systéme,Windows,-,GMC,,Téléphone,8,0,False,30,False
Incident,5,3 - Faible,Incidents,Application métier,ESKER,BOURGES CNG,TEXA,,Téléphone,8,0,False,101,False
Incident,5,3 - Faible,Incidents,Systéme,Windows,-,SES,,Téléphone,8,0,False,255,False
Incident,5,3 - Faible,Incidents,Systéme,Windows,-,PHENIX,,Téléphone,8,0,False,164,False
Incident,4,2 - Moyenne,Incidents,Systéme,Windows,-,VOXENS,,Self Service,8,4,False,270,False
Incident,5,3 - Faible,Incidents,Sécurité,MFA,GUADELOUPE,TEXA,,Téléphone,17,3,False,106,False
Incident,4,3 - Faible,Incidents,Logiciel Bureautique,Office365,-,CLE,,Téléphone,17,3,False,219,False
Incident,5,3 - Faible,Incidents,Systéme,Windows,-,EURISK,,Téléphone,16,3,False,100,False
Incident,4,2 - Moyenne,Incidents,Application métier,MICROSOFT DYNAMICS AX,CAEN,STELLIANT,,Self Service,15,3,False,96,False
Incident,5,3 - Faible,Incidents,Matériel,Informatiques,-,TEXA,,Kiosque IT,15,3,False,69,False
Incident,5,3 - Faible,Incidents,Matériel,Informatiques,-,EMTS,,Kiosque IT,15,3,False,73,False
Incident,4,3 - Faible,Incidents,Application métier,GMC Soft,-,TEXA SERVICES,,Téléphone,15,3,False,199,False
Incident,4,3 - Faible,Incidents,Logiciel Bureautique,Office365,MARSEILLE,TEXA,,Téléphone,15,3,False,119,False
Incident,4,3 - Faible,Incidents,Application métier,ITEX,RENNES,GEOP,,Self Service,15,3,False,119,True
Incident,5,3 - Faible,Incidents,Application métier,Avensys,-,TEXA,,Téléphone,15,3,False,38,False
Incident,4,2 - Moyenne,Incidents,Application métier,MICROSOFT DYNAMICS AX,BORDEAUX,TGS,,Self Service,14,3,False,253,False
Incident,4,3 - Faible,Incidents,Logiciel Bureautique,Office365,-,TEXA,,Téléphone,14,3,False,38,False
Incident,4,2 - Moyenne,Incidents,Matériel,Informatiques,-,TEXA,,Self Service,14,3,False,620,False
Incident,4,2 - Moyenne,Incidents,Application métier,MICROSOFT DYNAMICS AX,-,TEXA,,Self Service,14,3,False,143,False
Incident,5,3 - Faible,Incidents,Systéme,Windows,TOULON,TEXA,,Téléphone,14,3,False,143,False
Incident,4,3 - Faible,Incidents,Logiciel Bureautique,Office365,-,TEXA,,Kiosque IT,13,3,False,61,False
Incident,4,2 - Moyenne,Incidents,Logiciel Bureautique,Office365,-,TEXA,,Self Service,13,3,False,134,False
Incident,5,3 - Faible,Incidents,Application métier,MICROSOFT DYNAMICS AX,ROUEN,TEXA,,Téléphone,12,3,False,34,False
Incident,3,2 - Moyenne,Incidents,Systéme,Windows,-,EXTERNE,,Self Service,12,3,False,605,True
Incident,5,3 - Faible,Incidents,Application métier,ITEX,PLATEFORME PCN,TEXA,,Téléphone,11,3,False,62,False
Incident,5,3 - Faible,Incidents,Systéme,Windows,RENNES,GEOP,,Téléphone,11,3,False,330,False
Incident,4,2 - Moyenne,Incidents,Application métier,MICROSOFT DYNAMICS AX,Vitrolles,GMC,,Self Service,11,3,False,141,False
Incident,4,3 - Faible,Incidents,Systéme,Windows Serveur,-,PHENIX,,Téléphone,11,3,False,126,False
Incident,5,3 - Faible,Incidents,Logiciel Bureautique,PDF-Exchange,Vitrolles,EURISK,,Téléphone,11,3,False,68,False
Incident,5,3 - Faible,Incidents,Systéme,Windows,MELUN,TEXA,,Téléphone,11,3,False,100,False
Incident,4,3 - Faible,Incidents,Systéme,Windows Serveur,PLATEFORME PCN,TEXA,,Téléphone,10,3,False,286,False
Incident,4,2 - Moyenne,Incidents,Application métier,ESKER,REIMS,TEXA,,Self Service,10,3,False,105,False
Incident,5,3 - Faible,Incidents,Systéme,Windows,-,EURISK,,Téléphone,10,3,False,58,False
Incident,4,2 - Moyenne,Incidents,Application métier,Ringover,AVIGNON,TEXA,,Self Service,10,3,False,239,False
Incident,4,2 - Moyenne,Incidents,Application métier,ITEX,ORLEANS,TEXA SERVICES,,Self Service,10,3,False,255,False
Incident,5,3 - Faible,Incidents,Systéme,Windows,AVIGNON,TEXA SERVICES,,Téléphone,10,3,False,208,False
Incident,4,2 - Moyenne,Incidents,Logiciel Bureautique,Office365,-,GMC,,Self Service,10,3,False,272,False
Incident,3,2 - Moyenne,Incidents,Logiciel Bureautique,Office365,BORDEAUX,EURISK,,Self Service,10,3,False,660,False
Incident,5,3 - Faible,Incidents,Application métier,ITEX MOBILE,TROYES,TEXA,,Téléphone,9,3,False,129,False
Incident,5,3 - Faible,Incidents,Systéme,Windows,-,PHENIX,,Téléphone,9,3,False,106,False
Incident,4,2 - Moyenne,Incidents,Application métier,MICROSOFT DYNAMICS AX,BAYONNE,TEXA,,Self Service,9,3,False,214,False
Incident,5,3 - Faible,Incidents,Systéme,Windows,ROUEN,TEXA,,Téléphone,9,3,False,359,False
Incident,5,3 - Faible,Incidents,Systéme,Windows,VANNES,TEXA SERVICES,,Téléphone,9,3,False,54,False
Incident,5,3 - Faible,Incidents,Application métier,ITEX,BOURGES CNG,TEXA,,Téléphone,9,3,False,182,False
Incident,4,3 - Faible,Incidents,Logiciel Bureautique,Office365,LILLE,TGS,,Kiosque IT,9,3,False,109,False
Incident,5,3 - Faible,Incidents,Systéme,Windows,BOURGES CNG,TEXA,,Téléphone,9,3,False,227,False
Incident,5,3 - Faible,Incidents,Application métier,ITEX,LYON,TEXA,,Téléphone,8,3,False,68,False
Incident,5,3 - Faible,Incidents,Application métier,Ringover,-,TEXA,,Téléphone,8,3,False,65,False
Incident,4,2 - Moyenne,Incidents,Systéme,Windows,-,EURISK,,Self Service,8,3,False,87,False
Incident,4,2 - Moyenne,Incidents,Application métier,ITEX,ORLEANS,TEXA SERVICES,,Self Service,8,3,False,24,False
Incident,5,3 - Faible,Incidents,Systéme,Windows,LYON,TEXA,,Téléphone,8,3,False,241,False
Incident,3,2 - Moyenne,Incidents,Logiciel Bureautique,Office365,TOULOUSE,TGS,,Self Service,7,3,False,248,False
Incident,3,1 - Haute,Incidents,Matériel,Informatiques,-,TEXA,,Self Service,18,2,False,121,False
Incident,4,2 - Moyenne,Incidents,Application métier,ITEX,PLATEFORME SUD EST,TEXA,,Self Service,18,2,False,100,False
Incident,5,3 - Faible,Incidents,Systéme,Windows,LILLE,EXTERNE,,Téléphone,15,2,False,166,False
Incident,5,3 - Faible,Incidents,Réseau,Cablage,LILLE,TGS,,Téléphone,15,2,False,78,False
Incident,5,3 - Faible,Incidents,Matériel,Informatiques,-,TEXA,,Kiosque IT,15,2,False,58,False
Incident,4,3 - Faible,Incidents,Logiciel Bureautique,Office365,LILLE,TEXA,,Téléphone,15,2,False,96,False
Incident,4,2 - Moyenne,Incidents,Logiciel Bureautique,Office365,-,TEXA,,Self Service,15,2,False,204,False
Incident,3,1 - Haute,Incidents,Logiciel Bureautique,Office365,VALENCE,CLE EXPERTISES,,Self Service,15,2,False,239,False
Incident,2,1 - Haute,Incidents,Logiciel Bureautique,Office365,-,PHENIX,,Téléphone,14,2,False,833,True
Incident,4,3 - Faible,Incidents,Matériel,Imprimante,-,GMC,,Kiosque IT,14,2,False,70,False
Incident,3,1 - Haute,Incidents,Matériel,Informatiques,-,TEXA SERVICES,,Téléphone,14,2,False,363,False
Incident,2,1 - Haute,Incidents,Application métier,Expensya,-,FPS,,Téléphone,14,2,False,859,True
Incident,3,2 - Moyenne,Incidents,Application métier,Expensya,EURISK LILLE,EURISK,,Self Service,13,2,False,90,False
Incident,1,1 - Haute,Incidents,Application métier,ITEX,BORDEAUX,TEXA,,Self Service,13,2,False,47,False
Incident,5,3 - Faible,Incidents,Application métier,ITEX,RENNES,TEXA,,Téléphone,12,2,False,132,False
Incident,4,2 - Moyenne,Incidents,Matériel,Informatiques,PLATEFORME SUD EST,TEXA,,Self Service,12,2,False,384,False
Incident,1,1 - Haute,Incidents,Matériel,Informatiques,MONACO,TEXA,,Téléphone,12,2,False,979,True
Incident,4,2 - Moyenne,Incidents,Application métier,ITEX,-,TEXA,,Self Service,12,2,False,36,False
Incident,4,2 - Moyenne,Incidents,Application métier,ITEX,ORLEANS,VOXENS,,Self Service,12,2,False,104,False
Incident,5,3 - Faible,Incidents,Systéme,Windows,-,TEXA SERVICES,,Téléphone,12,2,False,62,False
Incident,4,2 - Moyenne,Incidents,Application métier,Ringover,VALENCE,TEXA SERVICES,,Self Service,11,2,False,171,False
Incident,5,3 - Faible,Incidents,Matériel,Informatiques,-,TEXA,,Kiosque IT,11,2,False,85,False
Incident,1,1 - Haute,Incidents,Logiciel Bureautique,PDF-Exchange,EURISK MARSEILLE,EURISK,,Téléphone,11,2,False,490,False
Incident,5,3 - Faible,Incidents,Application métier,ESKER,BORDEAUX,TEXA SERVICES,,Téléphone,11,2,False,59,False
Incident,5,3 - Faible,Incidents,Application métier,Avensys,-,TEXA,,Téléphone,11,2,False,24,False
Incident,4,3 - Faible,Incidents,Logiciel Bureautique,Office365,-,CELLINKS,,Téléphone,11,2,False,329,True
Incident,4,2 - Moyenne,Incidents,Application métier,ESKER,-,TEXA SERVICES,,Self Service,11,2,False,124,False
Incident,3,1 - Haute,Incidents,Logiciel Bureautique,PDF-Exchange,BAYONNE,TEXA,,Téléphone,11,2,False,854,False
Incident,4,2 - Moyenne,Incidents,Matériel,Informatiques,-,PHENIX,,Self Service,11,2,False,209,False
Incident,5,3 - Faible,Incidents,Systéme,Windows,-,STELLIANT,,Téléphone,11,2,False,233,False
Incident,5,3 - Faible,Incidents,Systéme,Windows,-,TEXA,,Téléphone,10,2,False,60,True
Incident,4,2 - Moyenne,Incidents,Application métier,SINERGIE,LILLE,TEXA,,Self Service,10,2,False,259,False
Incident,5,3 - Faible,Incidents,Systéme,Windows,-,TGS,,Téléphone,10,2,False,33,False
Incident,4,3 - Faible,Incidents,Systéme,Windows Serveur,-,STELLIANT,,Téléphone,10,2,False,109,False
Incident,3,1 - Haute,Incidents,Logiciel Bureautique,PDF-Exchange,TOULOUSE,CELLINKS,,Self Service,10,2,False,153,False
Incident,5,3 - Faible,Incidents,Systéme,Windows,ORLEANS,TEXA,,Téléphone,10,2,False,65,False
Incident,4,2 - Moyenne,Incidents,Application métier,Avensys,METZ,CLE,,Self Service,9,2,False,297,False
Incident,4,2 - Moyenne,Incidents,Systéme,Windows Serveur,-,VOXENS,,Self Service,9,2,False,276,False
Incident,5,3 - Faible,Incidents,Application métier,ITEX,-,TGS,,Kiosque IT,9,2,False,103,False
Incident,3,2 - Moyenne,Incidents,Systéme,Windows Serveur,-,VOXENS,,Self Service,9,2,False,276,False
Incident,4,2 - Moyenne,Incidents,Application métier,ITEX,BOURGES CNG,TEXA,,Self Service,9,2,False,210,False
Incident,5,3 - Faible,Incidents,Application métier,Ringover,BOURGES CNG,TEXA,,Téléphone,9,2,False,158,False
Incident,3,1 - Haute,Incidents,Portail,,-,TEXA,,Self Service,9,2,False,239,False
Incident,4,2 - Moyenne,Incidents,Application métier,Ringover,-,TEXA SERVICES,,Self Service,9,2,False,319,False
Incident,3,2 - Moyenne,Incidents,Application métier,SINERGIE,-,STELLIANT,,Self Service,9,2,False,178,True
Incident,5,3 - Faible,Incidents,Application métier,Ringover,ROUEN,TEXA,,Téléphone,9,2,False,235,False
Incident,4,2 - Moyenne,Incidents,Application métier,ESKER,TROYES,TEXA,,Self Service,8,2,False,206,False
Incident,5,3 - Faible,Incidents,Application métier,ITEX,-,TEXA,,Téléphone,8,2,False,85,False
Incident,3,1 - Haute,Incidents,Application métier,Soluce,-,FPS,,Self Service,8,2,False,112,False
Incident,4,2 - Moyenne,Incidents,Systéme,Windows,ORLEANS,VOXENS,,Self Service,8,2,False,139,False
Incident,4,2 - Moyenne,Incidents,Application métier,ITEX,-,VOXENS,,Self Service,18,1,False,82,False
Incident,5,3 - Faible,Incidents,Systéme,Windows,LYON,TEXA SERVICES,,Téléphone,18,1,False,87,False
Incident,3,1 - Haute,Incidents,Application métier,ITEX,-,GMC,,Téléphone,17,1,False,213,False
Incident,4,2 - Moyenne,Incidents,Systéme,Windows,-,VOXENS,,Self Service,17,1,False,200,False
Incident,4,2 - Moyenne,Incidents,Systéme,Windows,-,VOXENS,,Self Service,17,1,False,151,False
Incident,4,3 - Faible,Incidents,Systéme,Windows Serveur,ORLEANS CNG,CELLINKS,,Téléphone,17,1,False,56,False
Incident,5,3 - Faible,Incidents,Systéme,Windows,-,TEXA,,Téléphone,16,1,False,38,False
Incident,4,2 - Moyenne,Incidents,Application métier,ITEX,LE MANS,TEXA,,Self Service,15,1,False,32,False
Incident,5,3 - Faible,Incidents,Matériel,Informatiques,-,TEXA SERVICES,,Kiosque IT,15,1,False,81,False
Incident,3,1 - Haute,Incidents,Sécurité,Alerte Sentinel,-,TEXA SERVICES,,Kiosque IT,15,1,False,84,False
Incident,2,1 - Haute,Incidents,Matériel,Imprimante,-,INQUEST,,Self Service,15,1,False,271,True
Incident,5,3 - Faible,Incidents,Systéme,Windows,MARSEILLE,TEXA SERVICES,,Téléphone,15,1,False,96,False
Incident,5,3 - Faible,Incidents,Application métier,MICROSOFT DYNAMICS AX,-,TEXA,,Téléphone,14,1,False,256,False
Incident,5,3 - Faible,Incidents,Sécurité,MFA,LYON,GEOP,,Téléphone,14,1,False,106,False
Incident,4,2 - Moyenne,Incidents,Logiciel,Bureautique,LYON,TEXA,,Téléphone,13,1,False,38,False
Incident,5,3 - Faible,Incidents,Systéme,Windows,-,TGS,,Téléphone,12,1,False,26,False
Incident,2,1 - Haute,Incidents,Application métier,ITEX,-,GMC,,Self Service,12,1,False,118,False
